log_oiii_hbeta, log_oiii_hbeta_err, fwhm_broad_halpha, fwhm_broad_halpha_err 
0.0947155494, 0.05157522115, 1122.386581, 30.67159742 
0.013171078559999999, 0.03730493875, 1143.844566, 38.11533697 
0.13828185199999998, 0.044189324095, 1184.3496599999999, 37.53048981 
0.2631943806, 0.0645555166, 1408.565901, 49.65697704 
0.3105046888, 0.06158832055, 1481.0325, 41.430975 
0.3887839286, 0.0907871875, 1696.945337, 52.608360100000006 
0.4598540879, 0.0832244654, 1962.257154, 53.96771463 
0.5235869552, 0.06922401639999999, 2307.196606, 36.68370085 
0.567568072, 0.06490151875, 2568.1138140000003, 25.92126491 
0.7100108129, 0.0918402909, 2626.633776, 44.85220035 
0.6323431612, 0.07366244535000001, 2674.392622, 24.20040679 
0.626186638, 0.058551740549999995, 2692.591441, 39.069461100000005 
0.6692312999000001, 0.0886524166, 2793.7507149999997, 52.51077101 
0.5929618146, 0.06948523625, 2814.594348, 45.3069303 
0.6702505506, 0.0855308273, 2872.744382, 38.57208825 
0.6811441748999999, 0.11371307915, 2941.474442, 42.88977374 
0.6464976543, 0.09182795625, 3247.585623, 54.45812646 
0.7299683945000001, 0.11320887550000001, 3565.9488549999996, 70.02635199 
0.7940622542, 0.0853414312, 3784.949778, 58.62343137 
0.7018130126000001, 0.11486427375, 3944.7860170000004, 68.24239838 
0.7206287187999999, 0.09845017885, 3949.0890670000003, 57.15134579 
0.6388382089, 0.12908013185, 4150.979644, 85.93939112 
0.7216528608, 0.07247577599999999, 4199.310968, 55.88335735 
0.7789284679, 0.0839574113, 4204.175006, 84.63440268 
0.8237583951999999, 0.13080479685000002, 4274.416282, 78.75152398 
0.8012647305, 0.1313134003, 5073.713621, 95.14881558 
0.7712715011, 0.119499275, 5263.03676, 102.5868271 
0.800678412, 0.08726990529999999, 5312.297034, 87.26739381 
0.8280450845, 0.09809614404999999, 5546.194697999999, 107.6003148 
0.8831480047, 0.08449183064999999, 5842.61355, 116.9733505 
0.8457478751, 0.0986980605, 6513.796662, 121.4660845 
0.7977413645999999, 0.05127173085, 7176.503587, 200.4051332 
0.9153735767, 0.0918047085, 7535.18349, 138.7680091 
0.8510738126999999, 0.0788481003, 8537.920658, 154.6756195 
1.006893824, 0.09392784800000001, 8665.964441, 164.5700041 
0.9887623404000001, 0.05658947885, 8988.965349, 171.1045957 
1.01932077, 0.08984231955, 11477.52387, 185.435109 
