plate, mjd, fiber, FWHM_broad_Halpha, log_L_OIII_5007, log_L_narrow_Hbeta, EW_broad_Hbeta, EW_broad_FeII, EW_OIII_5007, r_mag, W1_mag, W2_mag, W3_mag, W4_mag, log_BH_mass, log_L_bol, log_Eddington_ratio 
2129.0, 54252.0, 18.0, 2507.8, 42.1, 40.85, 13.3, 5.9, 49.0, 16.752, nan, nan, nan, nan, 7.52, 45.126, -0.49 
2601.0, 54144.0, 378.0, 2421.3, 41.6, 40.56, 58.3, 26.4, 14.7, 18.34, nan, nan, nan, nan, 8.09, 45.056, -1.14 
1004.0, 52723.0, 322.0, 2361.3, 41.8, 41.03, 47.7, 30.5, 21.3, 18.61, nan, nan, nan, nan, 7.82, 45.16, -0.76 
1307.0, 52999.0, 494.0, 2924.8, 42.4, 42.12, 107.9, 16.1, 40.4, 16.612, nan, nan, nan, nan, 8.29, 45.491, -0.9 
775.0, 52295.0, 308.0, 1852.8, 41.9, 41.4, 84.3, 59.2, 24.1, 17.688, nan, nan, nan, nan, 7.94, 45.224, -0.81 
946.0, 52407.0, 490.0, 2140.3, 41.5, 40.27, 47.2, 34.6, 12.2, 19.103, nan, nan, nan, nan, 8.02, 45.041, -1.08 
572.0, 52289.0, 442.0, 2781.3, 41.7, 41.16, 105.8, 11.0, 12.5, 17.12, nan, nan, nan, nan, 8.14, 45.293, -0.94 
2213.0, 53792.0, 401.0, 1587.9, 41.4, 40.82, 23.2, 30.2, 6.0, 17.7, nan, nan, nan, nan, 7.57, 45.289, -0.39 
964.0, 52646.0, 612.0, 2253.1, 42.4, 41.04, 37.8, 7.7, 62.6, 17.871, nan, nan, nan, nan, 7.61, 45.293, -0.42 
582.0, 52045.0, 428.0, 2873.7, 41.5, 40.78, 22.5, 31.3, 10.2, 18.473, 14.3, 13.402, 9.621, 7.16, 8.15, 45.126, -1.13 
1642.0, 53115.0, 454.0, 3581.3, 41.7, nan, 59.7, 74.7, 8.6, 16.895, nan, nan, nan, nan, 8.07, 45.399, -0.77 
856.0, 52339.0, 10.0, 1785.6, 41.9, 41.15, 45.8, 18.4, 14.6, 16.816, 12.571, 11.587, 8.328, 6.069, 7.67, 45.368, -0.4 
1970.0, 53386.0, 456.0, 2939.9, 42.1, 40.95, 32.4, 18.6, 55.6, 18.649, nan, nan, nan, nan, 9.22, 45.071, -2.25 
998.0, 52750.0, 323.0, 2676.3, 41.9, 40.99, 41.9, 29.4, 26.3, 18.42, nan, nan, nan, nan, 7.88, 45.129, -0.85 
1378.0, 53061.0, 208.0, 2677.3, 41.4, 40.58, 85.3, 95.4, 7.2, 18.158, nan, nan, nan, nan, 8.1, 45.23, -0.97 
2211.0, 53786.0, 271.0, 2581.6, 41.7, 40.95, 106.5, 63.1, 9.3, 17.305, nan, nan, nan, nan, 7.95, 45.431, -0.62 
2024.0, 53503.0, 237.0, 1699.9, 41.4, 40.89, 30.3, 42.7, 9.3, 18.327, nan, nan, nan, nan, 7.62, 45.144, -0.58 
2601.0, 54144.0, 575.0, 4214.3, 41.6, 40.49, 29.7, 23.3, 13.3, 18.187, nan, nan, nan, nan, 8.75, 45.101, -1.75 
1012.0, 52649.0, 58.0, 2298.9, 41.6, 40.76, 73.7, 75.8, 22.8, 17.45, nan, nan, nan, nan, 7.74, 44.926, -0.91 
1607.0, 53083.0, 395.0, 1912.7, 41.1, 40.74, 25.2, 31.0, 4.3, 18.798, nan, nan, nan, nan, 8.22, 45.157, -1.17 
1443.0, 53055.0, 358.0, 2031.1, 42.0, 41.65, 90.1, 33.1, 5.0, 15.951, nan, nan, nan, nan, 8.29, 45.947, -0.45 
1778.0, 53883.0, 350.0, 3706.8, 40.9, nan, 40.4, 57.8, 3.6, 18.647, nan, nan, nan, nan, 7.93, 45.018, -1.02 
2246.0, 53767.0, 66.0, 3504.5, 41.4, 40.12, 59.2, 12.1, 14.6, 16.338, nan, nan, nan, nan, 7.92, 44.931, -1.09 
1643.0, 53143.0, 532.0, 2628.3, 41.9, 41.25, 78.7, 32.0, 21.2, 18.272, nan, nan, nan, nan, 8.1, 45.25, -0.95 
1667.0, 53430.0, 84.0, 1799.7, 41.9, 41.42, 12.2, 21.7, 15.2, 17.729, nan, nan, nan, nan, 7.57, 45.423, -0.25 
1774.0, 53759.0, 602.0, 3771.4, 42.0, 40.73, 84.9, 6.5, 35.5, 18.456, nan, nan, nan, nan, 8.13, 45.065, -1.17 
958.0, 52410.0, 606.0, 2678.2, 41.8, 41.09, 21.4, 3.7, 28.4, 17.436, nan, nan, nan, nan, 8.07, 44.999, -1.18 
1362.0, 53050.0, 55.0, 3644.5, 42.0, 41.08, 51.8, 30.7, 31.0, 18.165, nan, nan, nan, nan, 8.35, 45.166, -1.29 
578.0, 52339.0, 53.0, 3790.4, 41.6, 41.13, 37.9, 15.2, 11.6, 17.881, nan, nan, nan, nan, 8.42, 45.163, -1.36 
2017.0, 53474.0, 180.0, 2731.5, 41.9, 40.84, 47.7, 14.8, 39.3, 18.467, nan, nan, nan, nan, 8.09, 45.003, -1.18 
1453.0, 53084.0, 218.0, 4688.7, 41.7, 40.66, 46.0, 23.4, 14.3, 18.546, nan, nan, nan, nan, 8.26, 45.243, -1.11 
2143.0, 54184.0, 446.0, 3873.7, 41.3, 40.55, 55.8, 74.2, 5.5, 18.0, 14.036, 12.987, 10.222, 7.764, 7.8, 45.261, -0.64 
410.0, 51816.0, 234.0, 2578.4, 41.2, 40.74, 31.7, 45.1, 6.4, 18.066, 12.746, 11.787, 8.991, 6.505, 8.32, 45.036, -1.39 
392.0, 51793.0, 520.0, 2583.4, 41.8, 40.85, 58.9, 42.8, 20.6, 18.346, nan, nan, nan, nan, 7.95, 45.132, -0.92 
1186.0, 52646.0, 261.0, 2160.9, 40.8, 40.02, 1.3, 2.2, 0.4, 15.399, 10.825, 9.871, 7.201, 5.083, 9.41, 45.818, -1.7 
1950.0, 53436.0, 298.0, 2340.3, 41.6, 40.91, 53.3, 20.5, 10.6, 18.376, nan, nan, nan, nan, 8.38, 45.212, -1.27 
1419.0, 53144.0, 552.0, 3229.8, 42.0, 40.79, 50.4, 21.2, 28.4, 16.128, 11.961, 11.058, 8.351, 6.396, 8.15, 45.214, -1.04 
641.0, 52199.0, 349.0, 3562.7, 41.2, 40.9, 40.0, 60.3, 6.9, 17.985, nan, nan, nan, nan, 8.21, 45.082, -1.23 
1865.0, 53312.0, 527.0, 1904.7, 41.3, 40.32, 60.1, 59.3, 10.0, 18.246, 13.551, 12.656, 9.987, 7.988, 7.68, 45.003, -0.78 
2197.0, 53555.0, 358.0, 2981.1, 42.3, 41.13, 54.7, 13.0, 77.0, 18.345, 13.371, 12.561, 9.794, 7.423, 8.23, 45.048, -1.29 
2149.0, 54509.0, 6.0, 2611.1, 41.2, 41.18, 70.4, 113.5, 7.2, 18.749, 11.797, 10.679, 7.995, 5.544, 8.67, 45.06, -1.71 
1932.0, 53350.0, 293.0, 1958.8, 42.1, 39.88, 100.2, 37.7, 19.1, 17.85, 12.094, 11.065, 8.5, 6.327, 7.83, 45.471, -0.46 
641.0, 52199.0, 546.0, 2787.5, 41.8, 40.48, 75.2, 35.6, 25.3, 18.314, nan, nan, nan, nan, 7.92, 45.04, -0.98 
1190.0, 52670.0, 422.0, 2173.5, 41.6, 40.67, 33.9, 14.8, 7.7, 17.125, nan, nan, nan, nan, 8.19, 45.39, -0.9 
462.0, 51909.0, 59.0, 2195.4, 42.0, 40.97, 73.6, 61.3, 24.8, 18.564, 13.264, 12.273, 9.399, 6.761, 7.79, 45.237, -0.65 
414.0, 51901.0, 341.0, 2184.3, 42.4, 41.33, 103.1, 42.6, 23.5, 16.609, 11.416, 10.341, 7.58, 5.134, 8.04, 45.687, -0.46 
2517.0, 54567.0, 557.0, 3022.8, 41.9, 41.1, 17.7, 4.5, 17.1, 18.405, 13.525, 12.525, 9.192, 6.755, 9.07, 45.355, -1.82 
646.0, 52523.0, 78.0, 2495.3, 41.9, 39.82, 78.3, 7.3, 20.8, 18.257, nan, nan, nan, nan, 7.93, 45.259, -0.77 
978.0, 52441.0, 524.0, 1717.3, 42.4, 40.83, 104.1, 78.5, 56.8, 15.898, 10.93, 10.017, 7.233, 4.744, 7.71, 45.314, -0.49 
1849.0, 53846.0, 220.0, 1929.8, 41.6, 40.37, 82.2, 50.4, 20.4, 18.243, 12.669, 11.619, 8.896, 6.789, 7.51, 44.945, -0.66 
1677.0, 53148.0, 15.0, 3446.9, 41.9, 40.96, 34.7, 13.7, 39.9, 17.614, 12.755, 11.969, 8.682, 6.095, 8.31, 44.939, -1.47 
450.0, 51908.0, 461.0, 3860.0, 41.8, 40.75, 57.3, 34.0, 19.4, 18.49, 13.426, 12.638, 10.128, 7.862, 8.31, 45.135, -1.27 
2360.0, 53728.0, 404.0, 3025.5, 41.7, 41.01, 39.4, 13.7, 16.8, 18.027, nan, nan, nan, nan, 8.09, 45.182, -1.01 
1294.0, 52753.0, 582.0, 2658.0, 41.8, 40.8, 42.6, 20.6, 17.9, 18.501, 13.712, 13.003, 10.268, 7.889, 8.19, 45.176, -1.11 
1591.0, 52976.0, 585.0, 3121.6, 42.6, 41.47, 84.1, 44.5, 107.5, 18.268, 14.719, 13.595, 9.84, 6.614, 8.02, 45.2, -0.92 
766.0, 52247.0, 467.0, 2137.5, 42.1, 41.23, 67.9, 52.9, 37.3, 17.697, 12.491, 11.434, 8.632, 6.206, 7.79, 45.155, -0.73 
2754.0, 54240.0, 465.0, 3767.0, 41.6, 40.8, 36.7, 35.6, 16.2, 18.17, 13.505, 12.794, 10.278, 8.337, 8.33, 45.038, -1.39 
612.0, 52079.0, 519.0, 2767.2, 41.7, 40.83, 19.7, 12.6, 13.9, 17.825, nan, nan, nan, nan, 8.34, 45.237, -1.2 
832.0, 52312.0, 2.0, 3812.2, 41.5, 40.71, 31.2, 3.8, 15.4, 18.131, 13.608, 12.737, 9.781, 7.458, 8.53, 44.969, -1.66 
1165.0, 52703.0, 629.0, 1702.9, 42.0, 40.65, 2.5, nan, 57.9, 17.498, nan, nan, nan, nan, 8.07, 44.951, -1.22 
386.0, 51788.0, 215.0, 2662.3, 42.2, 41.57, 73.5, 49.1, 15.8, 17.113, nan, nan, nan, nan, 8.26, 45.682, -0.68 
1676.0, 53147.0, 255.0, 2821.7, 41.5, 40.67, 35.9, 18.2, 10.3, 18.09, nan, nan, nan, nan, 8.04, 45.134, -1.01 
1055.0, 52761.0, 166.0, 1695.8, 41.8, 41.29, 52.9, 40.0, 14.1, 17.16, 12.378, 11.278, 8.383, 5.98, 7.66, 45.344, -0.42 
979.0, 52427.0, 31.0, 2612.0, 41.6, 40.21, 68.8, 16.6, 9.9, 18.772, 14.67, 14.061, 11.403, 8.567, 7.94, 45.239, -0.81 
627.0, 52144.0, 596.0, 3036.1, 41.9, 40.74, 42.1, 8.0, 38.9, 18.622, 14.041, 13.459, 10.907, 8.192, 8.03, 44.984, -1.15 
1383.0, 53116.0, 476.0, 1770.2, 41.7, 40.67, 51.3, 39.6, 20.3, 16.899, nan, nan, nan, nan, 7.47, 45.059, -0.51 
439.0, 51877.0, 16.0, 2154.7, 42.1, 41.21, 45.3, 20.6, 24.1, 18.192, 13.465, 12.317, 9.167, 6.834, 7.87, 45.404, -0.57 
367.0, 51997.0, 295.0, 2394.4, 41.7, 41.12, 54.9, 24.7, 17.1, 18.431, 13.607, 12.582, 9.768, 7.355, 8.01, 45.148, -0.96 
627.0, 52144.0, 508.0, 1769.2, 41.6, 40.83, 65.7, 18.3, 18.1, 17.932, 13.614, 12.611, 9.761, 7.472, 7.61, 44.972, -0.74 
975.0, 52411.0, 426.0, 2226.8, 42.0, 41.1, 52.4, 24.8, 41.6, 17.85, 13.499, 12.41, 8.976, 6.348, 7.79, 45.03, -0.86 
1870.0, 53383.0, 287.0, 10603.7, 41.6, 40.54, 29.6, 3.7, 11.0, 18.878, 14.709, 13.826, 11.729, 8.662, 9.05, 45.214, -1.94 
542.0, 51993.0, 560.0, 2359.2, 41.4, 40.89, 45.1, 32.4, 7.2, 17.083, 11.838, 10.908, 8.369, 6.29, 7.89, 45.195, -0.8 
982.0, 52466.0, 208.0, 1567.2, 41.8, 41.27, 58.9, 96.8, 13.8, 18.539, nan, nan, nan, nan, 7.52, 45.275, -0.35 
1058.0, 52520.0, 379.0, 2291.8, 42.0, 40.63, 60.7, 41.8, 7.3, 16.311, 11.346, 10.308, 7.674, 5.496, 8.03, 45.809, -0.32 
831.0, 52294.0, 25.0, 4646.5, 41.5, 40.59, 68.7, 29.4, 12.0, 18.362, 14.227, 13.328, 10.499, 8.038, 7.79, 45.083, -0.8 
456.0, 51910.0, 133.0, 2370.5, 41.7, 41.47, 42.1, 19.9, 21.1, 17.626, 13.285, 12.291, 9.31, 6.936, 7.88, 44.985, -0.99 
737.0, 52518.0, 635.0, 4333.2, 41.1, 40.57, 22.2, 42.6, 1.7, 18.346, nan, nan, nan, nan, 8.54, 45.484, -1.15 
496.0, 51988.0, 365.0, 2264.7, 41.4, 40.95, 64.5, 27.2, 11.1, 18.218, nan, nan, nan, nan, 7.88, 45.013, -0.97 
351.0, 51780.0, 363.0, 3532.9, 41.7, 40.58, 68.4, 25.4, 17.4, 18.646, nan, nan, nan, nan, 8.52, 45.122, -1.5 
410.0, 51816.0, 622.0, 3199.7, 41.6, 40.49, 14.3, 3.4, 12.3, 18.25, 13.768, 13.2, 9.806, 7.356, 7.41, 45.196, -0.31 
2113.0, 53468.0, 527.0, 4935.1, 42.2, 41.43, 62.8, 9.4, 101.9, 18.534, nan, nan, nan, nan, 9.07, 44.886, -2.28 
1618.0, 53116.0, 52.0, 2429.8, 42.1, 41.45, 48.2, 22.2, 22.5, 17.429, nan, nan, nan, nan, 8.02, 45.438, -0.68 
450.0, 51908.0, 86.0, 3205.4, 41.7, 41.01, 6.4, 9.4, 15.1, 18.579, 13.79, 13.087, 9.916, 7.843, 8.16, 45.213, -1.05 
2025.0, 53431.0, 637.0, 2970.0, 42.1, 40.99, 106.3, 14.1, 18.9, 16.743, nan, nan, nan, nan, 8.27, 45.461, -0.91 
756.0, 52577.0, 225.0, 2409.1, 41.7, 40.69, 101.5, 18.5, 16.1, 18.497, 14.151, 13.207, 10.869, 8.719, 7.82, 45.152, -0.76 
937.0, 52707.0, 86.0, 3336.2, 41.8, 41.21, 34.0, 16.0, 20.0, 18.675, 14.069, 13.191, 10.274, 7.767, 8.4, 45.178, -1.32 
2090.0, 53463.0, 8.0, 2377.4, 41.8, 40.85, 67.3, 37.7, 9.5, 17.065, nan, nan, nan, nan, 8.02, 45.465, -0.66 
1233.0, 52734.0, 184.0, 5946.3, 41.6, 40.99, 25.8, 6.9, 12.9, 18.228, nan, nan, nan, nan, 8.66, 45.157, -1.6 
841.0, 52375.0, 41.0, 2421.9, 42.0, 40.3, 57.8, 59.4, 38.6, 18.33, nan, nan, nan, nan, 7.98, 45.088, -0.99 
2236.0, 53729.0, 199.0, 4787.7, 41.6, 40.99, 27.6, 21.2, 21.1, 18.688, nan, nan, nan, nan, 8.37, 44.977, -1.5 
724.0, 52254.0, 467.0, 2326.9, 41.8, 40.77, 60.3, 25.8, 25.9, 18.398, nan, nan, nan, nan, 7.83, 45.027, -0.9 
1293.0, 52765.0, 401.0, 3829.7, 41.5, 40.74, 32.5, 10.7, 12.5, 17.802, 13.591, 12.739, 9.608, 7.542, 8.26, 45.092, -1.27 
379.0, 51789.0, 322.0, 3523.6, 41.7, 40.41, 12.9, 15.9, 18.8, 18.826, nan, nan, nan, nan, 7.36, 45.091, -0.37 
1922.0, 53315.0, 284.0, 4515.1, 41.7, 40.61, 38.2, 22.4, 25.5, 18.654, 14.372, 13.687, 10.797, 8.226, 8.67, 44.982, -1.78 
1159.0, 52669.0, 373.0, 2011.1, 41.4, 40.7, 69.9, 44.4, 13.1, 18.324, nan, nan, nan, nan, 7.73, 44.937, -0.9 
2608.0, 54474.0, 379.0, 2552.5, 42.2, 41.12, 69.0, 56.8, 55.2, 18.524, nan, nan, nan, nan, 8.02, 45.168, -0.95 
2103.0, 53467.0, 440.0, 1878.4, 42.1, nan, 65.5, 27.1, 30.1, 18.274, nan, nan, nan, nan, 7.66, 45.268, -0.49 
437.0, 51869.0, 222.0, 2570.2, 42.5, 41.18, 78.5, 61.6, 40.0, 17.015, 11.538, 10.464, 7.552, 4.957, 8.07, 45.532, -0.64 
890.0, 52583.0, 634.0, 4136.1, 41.4, 40.65, 37.0, 36.4, 9.1, 18.583, 13.437, 12.628, 10.131, 7.895, 9.01, 45.152, -1.96 
1772.0, 53089.0, 77.0, 1625.6, 42.0, 40.95, 85.4, 47.2, 45.8, 16.765, nan, nan, nan, nan, 7.53, 45.036, -0.59 
1694.0, 53472.0, 320.0, 3780.1, 41.5, 40.41, 83.3, 47.9, 15.1, 18.86, nan, nan, nan, nan, 8.41, 44.997, -1.51 
438.0, 51884.0, 243.0, 1789.0, 41.8, 40.86, 17.6, 12.7, 13.6, 18.252, 13.306, 12.39, 9.109, 6.543, 7.69, 45.345, -0.45 
1591.0, 52976.0, 134.0, 4663.1, 41.5, 40.92, 29.8, 20.7, 7.2, 18.31, 13.69, 12.734, 9.448, 7.009, 8.68, 45.262, -1.52 
554.0, 52000.0, 403.0, 3988.9, 41.8, 40.93, 61.4, 27.7, 25.6, 18.698, 14.339, 13.452, 10.552, 7.855, 8.41, 45.039, -1.47 
1985.0, 53431.0, 429.0, 2734.3, 42.2, 40.89, 15.6, 12.0, 49.6, 18.508, nan, nan, nan, nan, 8.02, 45.157, -0.96 
819.0, 52409.0, 133.0, 3755.8, 41.9, 40.92, 38.8, 26.6, 27.0, 18.424, 13.709, 12.771, 9.535, 7.251, 8.56, 45.167, -1.49 
1168.0, 52731.0, 227.0, 3635.8, 42.5, 41.67, 26.6, 23.9, 64.9, 17.752, 11.415, 10.341, 7.364, 4.792, 8.66, 45.38, -1.38 
911.0, 52426.0, 185.0, 3675.1, 42.1, 40.83, 85.6, 13.8, 48.1, 18.771, nan, nan, nan, nan, 8.17, 45.059, -1.21 
1174.0, 52782.0, 350.0, 3328.2, 42.0, 40.98, 44.6, 37.5, 38.6, 18.324, 13.407, 12.554, 9.353, 6.868, 8.27, 45.057, -1.32 
443.0, 51873.0, 580.0, 1713.4, 41.8, 39.4, 99.9, 74.6, 22.8, 17.432, 12.758, 11.643, 8.632, 6.151, 7.45, 45.057, -0.5 
511.0, 52636.0, 315.0, 4740.4, 41.9, nan, 74.8, 120.4, 9.6, 16.833, nan, nan, nan, nan, 7.97, 45.558, -0.52 
346.0, 51693.0, 214.0, 2023.5, 42.5, 39.86, 123.4, 66.6, 50.0, 16.911, 11.954, 10.943, 8.316, 5.835, 7.89, 45.492, -0.5 
2529.0, 54585.0, 149.0, 1653.2, 42.1, 39.91, 105.5, 48.5, 17.0, 16.578, 12.0, 10.912, 8.041, 5.835, 7.71, 45.517, -0.3 
640.0, 52178.0, 209.0, 2734.6, 41.6, nan, 87.5, 58.6, 10.1, 17.915, nan, nan, nan, nan, 8.04, 45.207, -0.93 
1224.0, 52765.0, 412.0, 2616.9, 41.9, 40.59, 36.4, 21.3, 9.9, 16.611, nan, nan, nan, nan, 8.09, 45.519, -0.67 
1310.0, 53033.0, 1.0, 2198.0, 41.8, 40.45, 86.2, 41.2, 26.2, 18.871, nan, nan, nan, nan, 7.77, 45.039, -0.84 
2006.0, 53476.0, 628.0, 2098.0, 41.9, 40.76, 46.0, 35.3, 35.2, 17.51, nan, nan, nan, nan, 7.85, 45.029, -0.93 
879.0, 52365.0, 324.0, 2485.4, 41.8, 40.64, 41.2, 33.0, 21.7, 18.666, nan, nan, nan, nan, 8.03, 45.147, -0.98 
857.0, 52314.0, 634.0, 2077.5, 41.7, 41.51, 61.2, 29.1, 19.8, 17.369, 11.645, 10.755, 8.227, 5.97, 7.77, 45.055, -0.82 
1781.0, 53297.0, 514.0, 2847.5, 41.7, 41.15, 108.3, 35.8, 18.1, 16.966, 12.353, 11.367, 8.582, 6.279, 8.07, 45.07, -1.11 
775.0, 52295.0, 441.0, 2507.6, 41.4, 40.0, 38.9, 42.7, 14.0, 18.497, nan, nan, nan, nan, 8.44, 44.964, -1.58 
1801.0, 54156.0, 358.0, 3908.6, 42.4, 41.33, 50.2, 33.6, 63.0, 18.824, nan, nan, nan, nan, 8.46, 45.246, -1.32 
495.0, 51988.0, 333.0, 2085.8, 41.5, nan, 70.8, 70.8, 10.6, 18.444, nan, nan, nan, nan, 7.54, 45.134, -0.51 
1980.0, 53433.0, 456.0, 2716.9, 41.6, 40.87, 38.7, 13.2, 18.2, 18.604, nan, nan, nan, nan, 7.92, 45.045, -0.98 
853.0, 52374.0, 547.0, 2471.4, 41.8, 39.72, nan, nan, 28.7, 17.782, nan, nan, nan, nan, nan, 45.04, nan 
777.0, 52320.0, 58.0, 2375.7, 41.9, 40.73, 79.7, nan, 30.7, 17.783, nan, nan, nan, nan, 7.77, 45.115, -0.75 
413.0, 51929.0, 371.0, 3863.0, 41.6, 40.99, 8.5, nan, 17.0, 19.353, 14.317, 13.358, 10.139, 7.801, 8.02, 45.071, -1.05 
1821.0, 53167.0, 132.0, 3487.4, 41.1, 40.2, 33.6, 34.7, 4.2, 18.621, nan, nan, nan, nan, 8.29, 45.189, -1.2 
1920.0, 53314.0, 157.0, 2419.8, 42.0, 40.82, 123.1, 7.1, 43.3, 18.215, 13.526, 12.502, 9.915, 7.516, 7.88, 45.052, -0.92 
1220.0, 52723.0, 526.0, 2595.3, 41.5, 40.76, 31.7, 17.5, 9.2, 18.784, nan, nan, nan, nan, 8.21, 45.189, -1.12 
338.0, 51694.0, 579.0, 2289.1, 41.2, 40.44, 24.7, 49.7, 3.2, 17.998, nan, nan, nan, nan, 8.01, 45.364, -0.75 
836.0, 52376.0, 112.0, 3460.8, 42.1, 41.69, 23.2, 10.4, 19.8, 18.075, nan, nan, nan, nan, 8.37, 45.427, -1.05 
812.0, 52352.0, 497.0, 1758.1, 42.0, 41.22, 68.4, 31.1, 17.8, 17.886, 13.114, 12.135, 9.38, 7.04, 7.76, 45.389, -0.48 
1932.0, 53350.0, 420.0, 2345.5, 41.6, 40.32, 49.0, 13.3, 13.8, 18.984, 14.105, 13.241, 10.312, 8.215, 7.74, 45.113, -0.73 
1116.0, 52932.0, 62.0, 2229.1, 41.6, 40.91, 24.3, 29.2, 11.4, 19.105, nan, nan, nan, nan, 8.02, 45.218, -0.91 
2949.0, 54557.0, 366.0, 2315.5, 42.0, 40.91, 56.9, 7.2, 25.6, 18.622, 14.173, 13.041, 10.19, 7.697, 7.94, 45.226, -0.82 
2669.0, 54086.0, 451.0, 2222.2, 42.1, nan, 50.6, 79.2, 20.6, 16.362, 10.073, 9.073, 6.21, 3.624, 7.46, 45.454, -0.1 
274.0, 51913.0, 388.0, 2467.4, 41.8, 39.6, 74.2, 63.5, 18.2, 18.383, nan, nan, nan, nan, 8.04, 45.182, -0.96 
2206.0, 53795.0, 302.0, 2843.7, 41.7, 40.92, 32.1, 39.4, 14.9, 18.189, 13.151, 12.393, 9.393, 7.195, 8.43, 45.187, -1.35 
542.0, 51993.0, 581.0, 3325.7, 41.3, 41.0, 6.2, nan, 7.2, 17.93, 10.926, 10.572, 8.472, 6.393, 7.85, 45.147, -0.81 
379.0, 51789.0, 23.0, 2243.3, 41.3, 40.52, 68.2, 72.3, 13.9, 18.656, nan, nan, nan, nan, 8.31, 44.843, -1.56 
958.0, 52410.0, 525.0, 3371.1, 41.8, 40.63, 30.9, 33.2, 11.4, 18.155, nan, nan, nan, nan, 8.29, 45.368, -1.02 
310.0, 51990.0, 284.0, 5983.7, 41.7, 40.58, 40.1, 33.9, 18.7, 18.855, 14.136, 12.925, 9.85, 7.593, 8.66, 45.121, -1.64 
588.0, 52045.0, 354.0, 3129.8, 41.8, 40.49, 70.9, 79.3, 25.5, 18.739, 13.061, 12.08, 9.538, 7.095, 8.08, 45.1, -1.08 
1351.0, 52790.0, 251.0, 2801.0, 41.4, 40.67, 60.2, 11.9, 8.9, 18.635, 14.475, 13.583, 10.709, 8.443, 7.98, 45.108, -0.97 
1305.0, 52757.0, 227.0, 2322.1, 42.0, 40.98, 60.7, 38.1, 25.9, 18.018, nan, nan, nan, nan, 8.03, 45.284, -0.85 
1274.0, 52995.0, 558.0, 4544.1, 40.9, 40.2, 29.6, 49.8, 3.2, 18.502, nan, nan, nan, nan, 8.71, 45.034, -1.78 
1290.0, 52734.0, 390.0, 2540.6, 41.2, 40.96, 28.7, 47.6, 4.1, 18.9, nan, nan, nan, nan, 8.5, 45.253, -1.35 
1834.0, 54562.0, 341.0, 3577.4, 42.2, 40.87, 31.4, 20.5, 76.8, 18.099, 12.78, 11.865, 9.007, 6.485, 9.29, 44.954, -2.43 
1231.0, 52725.0, 479.0, 1774.1, 41.5, 40.52, 44.3, 22.4, 17.0, 17.732, nan, nan, nan, nan, 7.64, 44.979, -0.77 
2157.0, 54242.0, 195.0, 2149.8, 41.4, 41.11, 80.1, 77.3, 6.8, 16.932, 11.585, 10.556, 8.211, 6.249, 7.67, 45.248, -0.52 
1677.0, 53148.0, 88.0, 5325.1, 42.3, 41.34, 40.4, 20.3, 76.6, 18.708, 13.88, 13.072, 10.246, 7.635, 8.3, 45.07, -1.33 
1843.0, 53816.0, 565.0, 1932.4, 41.7, 40.98, 70.9, 61.9, 21.6, 18.131, 13.108, 12.201, 9.375, 7.076, 7.8, 45.027, -0.87 
1951.0, 53389.0, 614.0, 2116.6, 42.0, 40.97, 87.6, 14.4, 28.7, 15.441, nan, nan, nan, nan, 7.88, 45.17, -0.81 
502.0, 51957.0, 557.0, 2772.7, 41.8, 38.41, 68.9, 62.7, 9.4, 17.198, nan, nan, nan, nan, 8.21, 45.475, -0.84 
2229.0, 53823.0, 354.0, 3027.8, 41.9, 41.09, 101.7, 77.2, 12.1, 17.467, nan, nan, nan, nan, 8.27, 45.469, -0.91 
1164.0, 52674.0, 480.0, 2512.2, 41.7, 40.7, 76.3, 63.8, 14.9, 18.482, nan, nan, nan, nan, 8.07, 45.166, -1.01 
665.0, 52168.0, 166.0, 2110.1, 41.3, 40.79, 25.3, 25.8, 6.2, 19.116, nan, nan, nan, nan, 8.54, 45.136, -1.5 
2773.0, 54533.0, 640.0, 2461.6, 41.7, nan, 93.7, 68.7, 7.2, 16.667, 11.869, 10.773, 8.057, 6.204, 8.06, 45.531, -0.62 
421.0, 51821.0, 261.0, 3238.1, 41.5, 41.03, 34.3, 26.9, 11.2, 18.452, nan, nan, nan, nan, 8.37, 45.096, -1.38 
749.0, 52226.0, 272.0, 2041.1, 41.6, 41.09, 26.1, 35.6, 15.4, 18.728, nan, nan, nan, nan, 7.76, 45.113, -0.74 
1672.0, 53460.0, 237.0, 2661.7, 42.3, 41.06, 74.2, 54.2, 25.4, 17.656, nan, nan, nan, nan, 8.35, 45.511, -0.94 
451.0, 51908.0, 619.0, 1987.5, 41.7, 41.08, 33.7, 3.6, 14.5, 18.015, 13.66, 12.857, 9.803, 7.85, 7.76, 45.222, -0.64 
768.0, 52281.0, 22.0, 4356.5, 41.8, 40.89, 43.3, 14.8, 25.5, 18.114, 13.677, 12.801, 9.718, 7.042, 8.41, 45.089, -1.42 
1289.0, 52734.0, 184.0, 2881.6, 42.2, 40.99, 90.6, nan, 15.9, 17.244, nan, nan, nan, nan, 8.28, 45.686, -0.7 
1216.0, 52709.0, 561.0, 2179.8, 41.5, 40.84, 60.3, 52.2, 8.9, 18.04, nan, nan, nan, nan, 7.98, 45.174, -0.91 
1986.0, 53475.0, 367.0, 2472.4, 41.8, 41.11, 47.2, 34.5, 29.0, 18.758, nan, nan, nan, nan, 7.78, 45.046, -0.83 
