plate, mjd, fiber, FWHM_broad_Halpha, log_L_OIII_5007, log_L_narrow_Hbeta, EW_broad_Hbeta, EW_broad_FeII, EW_OIII_5007, r_mag, W1_mag, W2_mag, W3_mag, W4_mag, log_BH_mass, log_L_bol, log_Eddington_ratio 
1324.0, 53088.0, 142.0, 1316.6, 41.2, 41.29, 27.0, 51.0, 2.7, 17.85, nan, nan, nan, nan, 7.57, 45.476, -0.2 
269.0, 51910.0, 181.0, 1499.8, 41.5, 41.42, 16.7, 53.5, 7.0, 18.248, nan, nan, nan, nan, 7.37, 45.327, -0.14 
903.0, 52400.0, 129.0, 2285.8, 41.5, 41.32, 13.5, 5.3, 8.0, 18.435, nan, nan, nan, nan, 7.75, 45.224, -0.63 
326.0, 52375.0, 42.0, 5326.3, 41.7, 41.3, 5.5, 6.2, 11.4, 17.57, nan, nan, nan, nan, nan, 45.268, nan 
1002.0, 52646.0, 117.0, 1218.2, 41.0, 41.46, 15.0, 38.9, 3.2, 18.778, nan, nan, nan, nan, 7.16, 45.146, -0.11 
1018.0, 52672.0, 23.0, 1346.2, 41.8, 41.38, 26.3, 46.2, 16.2, 16.654, nan, nan, nan, nan, 7.33, 45.268, -0.16 
548.0, 51986.0, 208.0, 1847.1, 41.3, 41.17, 7.1, 18.5, 4.9, 17.905, 13.381, 12.413, 8.701, 6.667, 7.59, 45.278, -0.41 
1579.0, 53473.0, 552.0, 4560.2, 41.4, 41.17, 13.4, 19.9, 5.6, 18.768, 13.525, 12.664, 9.236, 7.157, 8.7, 45.292, -1.51 
2013.0, 53818.0, 635.0, 1452.0, 42.2, 41.06, 59.2, 25.8, 161.8, 17.66, nan, nan, nan, nan, 7.07, 44.727, -0.44 
1291.0, 52735.0, 288.0, 1228.2, 41.4, 41.28, 20.2, 42.8, 10.4, 18.337, 13.611, 12.706, 10.122, 7.937, 7.12, 45.067, -0.15 
552.0, 51992.0, 274.0, 1398.0, 41.5, 40.94, 70.3, 36.8, 16.0, 17.505, 13.229, 12.207, 9.571, 7.416, 7.25, 44.985, -0.36 
771.0, 52370.0, 296.0, 1584.4, 41.7, 40.98, 56.3, 55.7, 17.9, 17.952, 13.25, 12.326, 9.706, 7.262, 7.29, 45.115, -0.27 
1327.0, 52781.0, 209.0, 1317.7, 41.7, 40.73, 36.4, 28.2, 19.8, 18.339, nan, nan, nan, nan, 7.19, 45.033, -0.26 
758.0, 52253.0, 533.0, 1539.2, 42.3, 41.16, 80.6, 7.5, 61.0, 18.183, 13.877, 12.844, 10.025, 7.556, 7.52, 45.146, -0.48 
498.0, 51984.0, 321.0, 1445.3, 41.8, 41.01, 59.3, 28.6, 28.8, 18.192, nan, nan, nan, nan, 7.24, 44.959, -0.38 
2142.0, 54208.0, 637.0, 1395.4, 41.9, 41.29, 31.0, 27.8, 20.8, 15.413, 11.133, 10.144, 7.091, 4.654, 7.29, 45.267, -0.12 
2212.0, 53789.0, 136.0, 1475.6, 42.0, 41.76, 77.6, 6.4, 37.8, 17.936, nan, nan, nan, nan, 7.84, 45.072, -0.87 
1728.0, 53228.0, 314.0, 1403.0, 41.8, 41.74, 45.0, 34.5, 15.0, 18.218, 13.499, 12.408, 9.656, 7.334, 7.74, 45.305, -0.53 
1278.0, 52735.0, 96.0, 1297.6, 42.0, 41.36, 52.5, 3.6, 33.8, 18.164, nan, nan, nan, nan, 7.29, 45.166, -0.23 
541.0, 51959.0, 167.0, 1482.5, 41.7, 41.08, 50.9, 51.5, 20.9, 18.008, 12.874, 11.996, 9.4, 7.008, 7.49, 45.001, -0.58 
796.0, 52401.0, 417.0, 1468.9, 41.6, 41.5, 37.7, 35.8, 5.6, 16.94, 13.425, 12.468, 9.722, 7.668, 7.54, 45.497, -0.15 
1414.0, 53135.0, 471.0, 1728.4, 42.4, 41.04, 113.9, 40.5, 122.6, 18.414, 14.107, 13.005, 9.799, 7.027, 7.43, 44.937, -0.59 
367.0, 51997.0, 11.0, 1379.4, 41.2, 40.16, 67.7, 75.0, 6.4, 18.245, 13.386, 12.283, 9.592, 7.53, 7.31, 45.109, -0.31 
943.0, 52376.0, 483.0, 1628.1, 41.1, 40.46, 44.4, 82.1, 6.1, 18.35, nan, nan, nan, nan, 7.2, 44.979, -0.32 
1275.0, 52996.0, 637.0, 1349.0, 41.3, 41.36, 36.5, 52.4, 6.8, 17.663, nan, nan, nan, nan, 7.39, 45.153, -0.34 
1659.0, 53224.0, 195.0, 1334.9, 42.1, 42.0, 36.0, 14.2, 35.3, 17.937, 13.194, 12.074, 9.083, 6.459, 7.73, 45.17, -0.66 
980.0, 52431.0, 419.0, 1453.5, 41.7, 41.88, 21.2, 52.5, 25.9, 17.817, 13.222, 12.245, 9.244, 6.667, 7.72, 44.955, -0.87 
1051.0, 52468.0, 265.0, 1447.4, 42.0, 40.92, 73.7, 26.6, 33.5, 18.074, 13.666, 12.557, 9.656, 7.224, 7.38, 45.183, -0.3 
301.0, 51942.0, 505.0, 1347.1, 40.6, 41.35, 23.4, 42.9, 1.7, 18.44, 13.862, 12.785, 10.13, 7.608, 8.12, 45.081, -1.14 
554.0, 52000.0, 303.0, 2647.5, 41.5, 41.45, 27.4, 42.9, 9.2, 18.227, 13.406, 12.603, 9.358, 7.183, 8.02, 45.248, -0.88 
1340.0, 52781.0, 336.0, 1981.9, 42.4, 41.45, 87.0, 8.9, 97.0, 18.479, 14.162, 13.272, 10.531, 7.922, 8.11, 45.077, -1.13 
971.0, 52644.0, 520.0, 1584.1, 41.9, 40.93, 15.1, 31.6, 19.7, 18.163, nan, nan, nan, nan, 7.29, 45.26, -0.13 
755.0, 52235.0, 246.0, 1715.4, 41.6, 41.2, 48.2, 55.0, 10.2, 18.217, 14.043, 12.985, 10.189, 7.619, 7.36, 45.284, -0.17 
1773.0, 53112.0, 211.0, 1387.9, 40.9, 41.17, 27.5, 58.0, 3.4, 17.96, nan, nan, nan, nan, 7.23, 45.019, -0.31 
1172.0, 52759.0, 607.0, 1419.4, 42.2, 42.39, 30.0, 30.1, 24.9, 17.64, 13.303, 12.179, 9.445, 6.89, 8.32, 45.438, -0.98 
1059.0, 52618.0, 411.0, 1316.7, 42.3, 42.15, 52.3, 21.5, 31.4, 17.9, 14.645, 13.529, 10.155, 7.725, 7.79, 45.457, -0.43 
2664.0, 54524.0, 39.0, 1514.4, 42.1, 41.57, 69.8, 27.4, 19.2, 17.443, nan, nan, nan, nan, 7.69, 45.498, -0.29 
995.0, 52731.0, 101.0, 1420.4, 41.6, 41.2, 29.1, 55.3, 11.1, 18.232, nan, nan, nan, nan, 7.51, 45.199, -0.41 
454.0, 51908.0, 407.0, 1501.8, 41.4, 41.5, 36.1, 36.5, 8.4, 17.733, 13.403, 12.37, 9.232, 6.929, 7.85, 45.179, -0.77 
1618.0, 53116.0, 294.0, 1342.8, 41.8, 41.28, 39.1, 45.1, 20.4, 18.389, nan, nan, nan, nan, 7.34, 45.199, -0.24 
1012.0, 52649.0, 74.0, 1664.2, 42.1, 41.06, 56.8, 24.5, 30.0, 16.072, nan, nan, nan, nan, 7.68, 45.296, -0.48 
785.0, 52339.0, 7.0, 1312.6, 41.9, 40.76, 25.8, 41.8, 32.9, 18.415, nan, nan, nan, nan, 7.21, 45.016, -0.29 
2499.0, 54176.0, 11.0, 1679.5, 41.8, 41.26, 83.1, 39.2, 22.9, 17.705, nan, nan, nan, nan, 7.68, 45.073, -0.71 
1947.0, 53431.0, 441.0, 1580.1, 41.7, 40.95, 46.0, 8.1, 20.5, 18.531, nan, nan, nan, nan, 7.41, 45.026, -0.49 
1010.0, 52649.0, 220.0, 1525.6, 42.2, 41.56, 66.5, 51.5, 10.0, 16.708, nan, nan, nan, nan, 7.81, 45.81, -0.1 
355.0, 51788.0, 408.0, 1611.2, 42.1, 42.07, 90.6, 25.4, 32.0, 17.955, 13.215, 12.096, 9.234, 6.966, 8.14, 45.297, -0.94 
438.0, 51884.0, 24.0, 1588.9, 41.7, 42.17, 48.8, 65.6, 9.7, 18.159, 13.667, 12.67, 10.38, 8.058, 8.2, 45.336, -0.97 
1921.0, 53317.0, 518.0, 2531.7, 41.7, 41.03, 96.1, 33.4, 19.4, 18.376, 14.319, 13.215, 10.592, 8.285, 7.68, 45.078, -0.7 
1305.0, 52757.0, 507.0, 1466.7, 42.2, 41.61, 77.3, 28.5, 33.8, 17.993, nan, nan, nan, nan, 7.76, 45.343, -0.52 
1210.0, 52701.0, 392.0, 1589.4, 41.9, 40.97, 59.1, 55.6, 23.5, 17.965, 12.959, 12.045, 9.362, 6.685, 7.48, 45.205, -0.38 
2197.0, 53555.0, 599.0, 1849.6, 40.8, nan, 44.8, 46.7, 2.9, 16.808, 12.495, 11.508, 8.874, 6.663, 7.54, 45.044, -0.6 
1923.0, 53319.0, 382.0, 1531.0, 41.3, 41.02, 69.0, 57.7, 4.9, 16.623, 11.669, 10.605, 8.02, 6.094, 7.53, 45.288, -0.34 
1657.0, 53520.0, 91.0, 1314.2, 41.7, 41.1, 41.4, 45.4, 17.5, 18.616, 13.947, 12.967, 10.147, 7.808, 7.31, 45.152, -0.26 
1381.0, 53089.0, 501.0, 1695.0, 42.6, 41.76, 109.9, 45.3, 72.8, 17.706, nan, nan, nan, nan, 7.71, 45.38, -0.43 
2020.0, 53431.0, 233.0, 2162.7, 41.8, 40.84, 42.8, 20.7, 23.2, 18.776, nan, nan, nan, nan, 7.53, 45.117, -0.52 
2617.0, 54502.0, 143.0, 1897.0, 42.1, 41.12, 71.9, 28.2, 13.9, 17.069, nan, nan, nan, nan, 7.73, 45.594, -0.24 
1925.0, 53327.0, 441.0, 1513.5, 41.3, 41.95, 52.9, 32.8, 7.4, 17.611, 13.126, 12.241, 10.026, 8.642, 7.94, 45.095, -0.94 
414.0, 51901.0, 362.0, 1572.4, 41.7, 40.7, 80.2, 51.3, 11.3, 17.875, 13.162, 12.119, 9.55, 7.549, 7.49, 45.267, -0.32 
1675.0, 53466.0, 428.0, 1496.8, 41.8, 41.0, 79.2, 45.3, 23.6, 18.397, nan, nan, nan, nan, 7.32, 45.065, -0.35 
889.0, 52663.0, 116.0, 1484.6, 41.0, 42.1, 25.5, 63.0, 1.3, 17.678, 13.376, 12.189, 9.392, 7.356, 8.31, 45.499, -0.91 
565.0, 52225.0, 139.0, 1565.0, 41.1, 40.84, 68.4, 43.7, 3.4, 18.536, nan, nan, nan, nan, 7.59, 45.193, -0.5 
837.0, 52642.0, 33.0, 1615.5, 41.9, 41.31, 77.1, 53.9, 21.4, 18.169, nan, nan, nan, nan, 7.68, 45.254, -0.52 
1305.0, 52757.0, 404.0, 1631.7, 40.8, 39.64, 65.9, 92.0, 2.0, 17.965, nan, nan, nan, nan, 7.47, 45.129, -0.44 
1425.0, 52913.0, 123.0, 1940.8, 42.0, 41.6, 77.0, 38.0, 7.1, 17.296, 12.641, 11.616, 9.171, 7.035, 8.01, 45.774, -0.34 
1423.0, 53167.0, 373.0, 1582.1, 41.9, nan, 69.9, 66.5, 21.3, 18.107, 13.194, 12.134, 9.178, 6.798, 7.58, 45.233, -0.44 
1816.0, 53919.0, 420.0, 1508.8, 41.4, 41.26, 70.8, 39.1, 11.1, 17.679, 13.376, 12.509, 10.135, 8.036, 7.46, 45.02, -0.54 
1338.0, 52765.0, 378.0, 1596.8, 41.4, nan, 72.4, 86.4, 8.7, 17.82, 13.445, 12.459, 9.452, 7.116, 7.29, 45.133, -0.25 
1371.0, 52821.0, 628.0, 2015.6, 41.3, 40.88, 36.1, 20.4, 6.0, 18.825, nan, nan, nan, nan, 8.02, 45.181, -0.93 
827.0, 52312.0, 29.0, 2562.7, 41.3, 40.38, 68.2, 68.5, 4.4, 18.045, 14.034, 13.009, 10.656, 8.442, 7.59, 45.278, -0.41 
644.0, 52173.0, 202.0, 1505.9, 41.4, 41.47, 70.9, 50.5, 13.4, 17.248, nan, nan, nan, nan, 7.45, 44.905, -0.65 
2577.0, 54086.0, 332.0, 1653.3, 42.5, 41.74, 67.0, 9.8, 45.4, 17.748, nan, nan, nan, nan, 7.83, 45.465, -0.46 
